"item","Año","Genero","Institución educativa","Deporte","Rol","Ciudad","Departamento"
"244","2024","Mujer","IE Luis Hernandez Vargas","Fútbol Sala","Deportista","Yopal","Casanare"
"245","2024","Mujer","Liceo de la Sabana","Tejo","Deportista","Yopal","Casanare"
"246","2024","Mujer","IE Braulio Gonzalez","Fútbol Sala","Deportista","Yopal","Casanare"
"247","2024","Mujer","IE Centro Social","Voleibol","Deportista","Yopal","Casanare"
"248","2024","Mujer","IE Centro Social","Voleibol","Deportista","Yopal","Casanare"
"249","2024","Mujer","IE Centro Social","Mini Baloncesto","Deportista","Yopal","Casanare"
"250","2024","Mujer","Liceo de la Sabana","Tejo","Deportista","Yopal","Casanare"
"251","2024","Mujer","IE Braulio Gonzalez","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"252","2024","Hombre","IE Centro Social","Ajedrez Integrado","Deportista","Yopal","Casanare"
"253","2024","Hombre","IE Braulio Gonzalez","Ajedrez Integrado","Deportista","Yopal","Casanare"
"254","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Ajedrez Integrado","Deportista","Yopal","Casanare"
"255","2024","Mujer","Instituto Tecnico Empresarial","Voleibol","Deportista","Yopal","Casanare"
"256","2024","Mujer","IE Lucila Piragauta","Fútbol de Salón","Deportista","Yopal","Casanare"
"257","2024","Mujer","IE Jorge ElIEcer Gaitan","Fútbol de Salón","Deportista","Yopal","Casanare"
"258","2024","Mujer","IE Braulio Gonzalez","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"259","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Fútbol de Salón","Deportista","Yopal","Casanare"
"260","2024","Mujer","Colegio Alianza Pedagogica","Voleibol","Deportista","Yopal","Casanare"
"261","2024","Mujer","Instituto Tecnico Empresarial","Mini Baloncesto","Deportista","Yopal","Casanare"
"262","2024","Mujer","IE Centro Social","Ajedrez Integrado","Deportista","Yopal","Casanare"
"263","2024","Mujer","IE Manuela Beltran","Voleibol","Deportista","Yopal","Casanare"
"264","2024","Mujer","Liceo Moderno Celestin Freinet Casanare","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"265","2024","Hombre","Liceo Moderno Celestin Freinet Casanare","Fútbol de Salón","Deportista","Yopal","Casanare"
"266","2024","Hombre","IE Luis Hernandez Vargas","Voleibol","Deportista","Yopal","Casanare"
"267","2024","Hombre","Institucion Educativa Megacolegio El Progreso","Fútbol","Deportista","Yopal","Casanare"
"268","2024","Mujer","Colegio Alianza Pedagogica","Natación","Deportista","Yopal","Casanare"
"269","2024","Mujer","IE Manuela Beltran","Baloncesto","Deportista","Yopal","Casanare"
"270","2024","Mujer","IE Luis Hernandez Vargas","Mini Baloncesto","Deportista","Yopal","Casanare"
"271","2024","Mujer","Liceo Gustavo Matamoros Leon","Porrismo","Deportista","Yopal","Casanare"
"272","2024","Mujer","Instituto Tecnico Empresarial","Mini Baloncesto","Deportista","Yopal","Casanare"
"273","2024","Mujer","Instituto Tecnico Ambiental San Mateo","Voleibol","Deportista","Yopal","Casanare"
"274","2024","Hombre","Gimnasio Comfacasanare","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"275","2024","Mujer","IE Lucila Piragauta","Voleibol","Deportista","Yopal","Casanare"
"276","2024","Mujer","Instituto Tecnico Ambiental San Mateo","Voleibol","Deportista","Yopal","Casanare"
"277","2024","Mujer","Institucion Educativa Isaac Newton","Boxeo","Deportista","Yopal","Casanare"
"278","2024","Mujer","IE Braulio Gonzalez","Mini Baloncesto","Deportista","Yopal","Casanare"
